mcp_id,customer_name,email,phone,credit_limit,kyc_date,status,region,industry,country,zip_code,subscription_plan,signup_date,last_login,total_transactions,total_spent,preferred_category,loyalty_points,data
CUST001,Johnson Group,beckjulian@buck.com,5831580044,48983,7/3/2021,inactive,Lake Jesseberg,IT,Andorra,67390,Standard,6/20/2021,10/30/2023,65,17349.38,Books,758,"{""preferred_contact"":""email""}"
CUST002,Burton-Lane,maynardwilliam@shepherd.com,7444044474,14156,8/13/2025,active,Aaronborough,IT,Senegal,83506,Basic,1/10/2025,8/1/2025,121,6191.6,Fashion,1094,"{""preferred_contact"":""email""}"
CUST003,Allen-Hudson,devin20@burke-silva.net,5191528352,14514,4/16/2022,inactive,Brianchester,Manufacturing,Timor-Leste,87749,Premium,7/18/2024,8/11/2025,18,6984.74,Sports,3346,"{""preferred_contact"":""email""}"
CUST004,"Kline, Cortez and Miles",hlong@cummings.com,7697375361,47961,3/21/2021,active,Gonzalezstad,Agriculture,Tuvalu,82905,Standard,1/1/2021,3/25/2023,124,11640.59,Books,1842,"{""preferred_contact"":""email""}"
CUST005,Cook-Friedman,maykyle@holmes.info,568969047,24075,9/10/2023,inactive,New Kimberly,Retail,Yemen,64539,Premium,12/17/2021,9/1/2023,192,7612.39,Grocery,3259,"{""preferred_contact"":""email""}"
CUST006,Rogers Group,debranelson@ramirez-rodriguez.com,9600574732,22293,1/16/2021,inactive,Randychester,Manufacturing,Morocco,56745,Premium,3/26/2023,3/6/2024,64,16056.51,Grocery,2838,"{""preferred_contact"":""mobile""}"
CUST007,Watts-Mason,nshaw@medina.com,1875701472,26301,6/21/2021,inactive,Vincentmouth,Energy,Thailand,51308,Basic,5/8/2022,7/18/2024,25,16512.87,Electronics,4520,"{""preferred_contact"":""mobile""}"
CUST008,Jones PLC,blakerollins@stevens.com,9989540518,35271,6/16/2022,inactive,Andrewbury,Energy,Namibia,60288,Premium,3/14/2023,8/3/2023,164,15806.75,Books,71,"{""preferred_contact"":""email""}"
CUST009,"Burton, Stuart and Brown",averymarissa@sparks.com,7813998017,15540,2/24/2024,inactive,West Dalton,Retail,Portugal,80739,Basic,3/12/2021,3/3/2022,107,8898.29,Books,398,"{""preferred_contact"":""mobile""}"
CUST010,Turner Inc,mhernandez@robinson-schmitt.net,2484841873,6119,2/7/2024,inactive,Hubermouth,Construction,Belgium,44123,Premium,7/10/2024,10/3/2024,31,8687.47,Sports,2586,"{""preferred_contact"":""mobile""}"
